title,plot,picture,address
Lankuri Bhanjyang,Hiking and outdoor recreation,location/la.jpg,Lakuri Bhanjyang
Dharahara Tower,"Dharahara, also called Bhimsen Tower, was a nine-storey, 61.88-metre-tall tower at the centre of Sundhara, Kathmandu, Nepal. It was built in 1832 by Mukhtiyar Bhimsen Thapa under the commission of Queen Lalit Tripurasundari and was a part of the architecture of Kathmandu recognized by UNESCO. The tower had a spiral staircase containing 213 steps. The eighth floor held a circular balcony for observers that provided a panoramic view of the Kathmandu valley. It also had a 5.2-metre bronze mast on the roof.",location/daa.jpg,sundhara
Kumari Ghar,Beautifully built traditional Nepali temple for the living goddess kumari.,location/ku.jpg,Hanumandhoka
Durbar Marg,"Durbar Marg or Durbarmarg is a broad, long avenue in the Nepali capital, Kathmandu. It can be considered the heart of the city, akin to the Champs Elysï¿½es and the chief avenues of many capitals. As it leads to the Royal Palace of Narayanhiti, it is also known the King's Way among foreigners, Durbar meaning, as in the Moghul Empire, a royal gathering or court. It is a major tourist draw, vying with Thamel. ",location/durbar.jpg,Durbar Marg
Rani Pokhari,"Rani Pokhari meaning queen's pond, originally known as Nhu Pukhu meaning new pond, is a historic artificial pond located in the heart of Kathmandu, Nepal. The square-shaped tank dates from the 17th century, and was built on the eastern side of the then city limits. It lies just outside a former city gate. The pond is one of Kathmandu's most famous landmarks and is known for its religious and aesthetic significance. Its dimensions are 180m by 140m. It was damaged by the earthquake of 2015 AD and is currently under construction. ",location/rani.jpg,Kathmandu
The Taragaon Museum,Must visit place if u love art exhibition and has a nice cafe over there,location/tara.jpg,"Boudhanath Sadak, Kathmandu"
Central Zoo,"The Central Zoo is a 6-hectare zoo in Jawalakhel, Nepal. It is home to some 870 animals in 109 species, and is operated by the National Trust for Nature Conservation. Although it was originally a private zoo, it was opened to the public in 1956. During the Bhoto Jatra festival, celebrated near the zoo, the zoo may see upwards of 34,000 visitors in a single day after they come to see a historical jeweled vest at the culmination of the Rato Machchhindranath jatra. ",location/zoo.jpg,"Jawalakhel Rd, Lalitpur"
Tundikhel,"Tudikhel/Tundikhel is a large grass-covered ground in the center of Nepal's capital Kathmandu and one of its most important landmarks. The field is rectangular in shape and has a north-south orientation. It lies between Ratna Park in the north and Sahid Gate, the memorial dedicated to the martyrs of 1941, in the south. Tundikhel's history goes back to at least the early 18th century during the Malla period.",location/tu.jpg," Kantipath Rd, Kathmandu"
Kaal Bhairav,It was discovered by King Pratap of the Malla dynasty amidst paddy fields in the 17th century.,location/bai.jpg,"Hanuman Dhoka Road, Kathmandu "
Whoopee Land Amusement Water Park,Rides & water slides in a lush setting,location/w0.jpg,"Chobar,Kathmandu"
Jamacho Gumba ,Worth destination for hiking and perfect view point for Kathmandu valley and mountain region.,location/ja.jpg,Nagarjun
Sundari Chowk,Tourist Attraction,location/hh.jpg,Patan.Lalitpur
Jagat-Narayan Temple,The Jagat Narayan temple is a tall Shikhara-style temple consecrated to Lord Vishnu. The temple is built out of the red bricks on the bank of the Sagmati at Sankharnul and enshrines many stone images. The fine metal statue of Garuda placed on a stone monolith is quite eye-catching along with similarly placed images of Ganesh and Hanuman..,location/g.jpg,"Sankhamul Bridge, Lalitpur"
Gokarna Forest Resort,"Tucked away in the serene Gokarna forest, a protected sanctuary that was once a private hunting grounds for the former royals of Nepal, the Gokarna Forest Resort offers an immersive retreat into nature a mere 10 kilometeres away from the hustle and bustle of Kathmandu. ",location/ix.jpg,"Gokarna,Kathmandu"
Namobuddha Monastery,"The Thrangu Tashi Yangtse Monastery is a Tibetan Buddhist monastery about 40 km southeast of Nepal's capital city Kathmandu and 2.3km from Manegaun, a Tamang village. It lies at the top of the hill in Namobuddha Municipality. It is one of the most beautiful and a center for tourism. The main festivals and mela celebrated here are Kartik Purnima and Buddha Jayanti. ",location/nam.jpg,"Namobuddha Rd, Simalchaur Syampati"
Ason Bazar,"Asan is a ceremonial, market and residential square in central Kathmandu, the capital of Nepal. It is one of the most well-known historical locations in the city and is famed for its bazaar, festival calendar and strategic location. Asan has been described as one of the fine Newar examples of a traditional Asian bazaar. The Tuladhar, Maharjan, Shrestha, Bajracharya and Shakya castes make up most of the population. Six streets converge on Asan giving the square a perpetual bustle.",location/asan.jpg,"Chittadhar Marg, Kathmandu"
National Museum of Nepal,"The National Museum of Nepal is a popular attraction of the capital city of Kathmandu. About a century old, the museum stands as a tourist destination and historical symbol for Nepal. Being the largest museum of the country of Nepal, it plays an important role in nationwide archaeological works and development of museums. For the residents of Kathmandu, the monument serves to relive the battles fought on the grounds of Nepal. The main attractions are collection of historical artworks and a historical display of weapons ",location/national.jpg, Kathmandu
55 Windows Palace,18th-century palace with intricate decor,location/ka.jpg," Durbar Square, Bhaktapur"
Siddha Pokhari,You can also feed fishes and enjoy different colorful fishes.,location/sid.jpg,bhaktapur
Naag Pokhari,"Historical landmark located at Nagpokhari, Kathmandu.",location/nax.jpg,Naxal.Kathmandu
Royal Nepal Golf Club,"The first golf course in Nepal was the Gauchar Golf Course, in Gaucharan, established by General Kiran Shumsher in 1917, after observing the sport in Scotland. This first course was in Nepal 'browns', i.e. greens consisted of sand mixed with oil. King Tribhuvan Shah and his son Prince Basundhara Shah also played golf. When the adjacent airfield was expanded, the golf course had to be shortened. On September 5, 1965, the club received the designation 'Royal' by King Mahendra, the son of Tribhuvan, and the club was named ""The Royal Nepal Golf Club"" and Prince Basundra became the second president of the club. The founder members of the RNGC were the then S.P. Khadgajeet Baral, the then tennis champion Hem Lama, etc. The members were mostly foreigners and members of the Shah and Rana families. When the airport was expanded again in 1982, the golf course was remodeled. In 1983, the Royal Nepal Golf Course was awarded another ground.",location/nag.jpg,kathmandu
Gokarna Golf Course,"Deer and monkey wander freely, as will the spirits of all who enter.",location/go.jpg,"Gokarna,Kathmandu"
